,Nature,address,description,Date,occ,case status,speech text,Times,Latitude,Longitude
87,FOUND PROPERTY,1204 W Main St,Reported a found firearm magazine and set of key fobs; placed into evidence ,02-15-2021,0722 02-15-21 to 0846 02-15-21,Active,FOUND PROPERTY: Reported a found firearm magazine and set of key fobs; placed into evidence  on 1204 W Main St at 0722. Case Status: Active,Morning,38.0326566,-78.4974082
88,FOUND PROPERTY,1204 W Main St,"Reported found keyring with various ring, various grocery membership cards ",02-16-2021,0722 02-15-21 to 0846 02-15-21,Active,"FOUND PROPERTY: Reported found keyring with various ring, various grocery membership cards  on 1204 W Main St at 0803. Case Status: Active",Morning,38.0326566,-78.4974082
89,FOUND PROPERTY,1700 University Ave,"Reported found leather wallet, VA learners permit, social security card inside ",02-16-2021,1000 02-16-21 to 1100 02-16-21,Active,"FOUND PROPERTY: Reported found leather wallet, VA learners permit, social security card inside  on 1700 University Ave at 1054. Case Status: Active",Morning,38.036036,-78.501661
90,SEX OFFENSE/FORCIBLE FONDLING,1335 Lee St,Reported an individual inappropriately touched during a patient transport ,02-17-2021,0900 02-17-21 to 1100 02-17-21,Active,SEX OFFENSE/FORCIBLE FONDLING: Reported an individual inappropriately touched during a patient transport  on 1335 Lee St at 1028. Case Status: Active,Morning,38.0311928,-78.4969626
91,LARCENY,1215 Lee St,Reported a theft of a temperature scanning device ,02-17-2021,1500 02-12-21 to 1825 02-14-21,Active,LARCENY: Reported a theft of a temperature scanning device  on 1215 Lee St at 1353. Case Status: Active,Afternoon,38.0324342,-78.499060670954
92,CURFEW VIOLATION/FIELD INVESTIGATION,1827 University Ave,Reported a citizen in violation of VA curfew order ,02-18-2021,0127 02-17-21 to 0422 02-18-21,Suspended,CURFEW VIOLATION/FIELD INVESTIGATION: Reported a citizen in violation of VA curfew order  on 1827 University Ave at 0422. Case Status: Suspended,Late Night,38.03699865,-78.50274725750276
93,FOUND PROPERTY,1215 Lee St,"Reported found firearm, five magazines and pistols; logged into safekeeping ",02-18-2021,1755 02-18-21 to 1840 02-18-21,Suspended,"FOUND PROPERTY: Reported found firearm, five magazines and pistols; logged into safekeeping  on 1215 Lee St at 1755. Case Status: Suspended",Afternoon,38.0324342,-78.499060670954
94,AGG.ASSAULT/STALKING/DOMESTIC VIOLENCE,1210 Lee St,"Reported a stalking with malicious intent to harm, damage to vehicle tire ",02-18-2021,1910 02-18-21 to 2215 02-18-21,Active,"AGG.ASSAULT/STALKING/DOMESTIC VIOLENCE: Reported a stalking with malicious intent to harm, damage to vehicle tire  on 1210 Lee St at 1917. Case Status: Active",Night,38.031832072538975,-78.4987093212438
95,THREATS ON SOCIAL MEDIA,2304 Ivy Rd,Reported threats over a social media App in response to COVID restrictions ,02-18-2021,1400 02-18-21 to 1400 02-18-21,Active,THREATS ON SOCIAL MEDIA: Reported threats over a social media App in response to COVID restrictions  on 2304 Ivy Rd at 1950. Case Status: Active,Night,38.0409319,-78.5085929
96,ASSAULT/ VANDALISIM ,1215 Lee St,"Reported a patient damaged property, threw an object hitting a nurse with it, charges possible ",02-19-2021,1750 02-19-21 to 1815 02-18-21,Active,"ASSAULT/ VANDALISIM : Reported a patient damaged property, threw an object hitting a nurse with it, charges possible  on 1215 Lee St at 1821. Case Status: Active",Night,38.0324342,-78.499060670954
97,FIELD CONTACT/LITTERING,795 Alderman Rd,Reported a small group of subjects throwing items from a balcony. ,02-19-2021,2327 02-19-21 to 2327 02-19-21,Suspended,FIELD CONTACT/LITTERING: Reported a small group of subjects throwing items from a balcony.  on 795 Alderman Rd at 2327. Case Status: Suspended,Night,38.032467,-78.51477
98,OBSCENE SEXUAL DISPLAY,1215 Lee St,Reported obscene sexual display ,02-19-2021,0800 02-17-21 to 1800 02-17-21,Arrest,OBSCENE SEXUAL DISPLAY: Reported obscene sexual display  on 1215 Lee St at 1337. Case Status: Arrest,Afternoon,38.0324342,-78.499060670954
99,FIELD INVESTIGATION/CURFEW VIOLATION,795 Alderman Rd,Reported two individuals out past curfew ,02-19-2021,2327 02-19-21 to 2327 02-18-21,Suspended,FIELD INVESTIGATION/CURFEW VIOLATION: Reported two individuals out past curfew  on 795 Alderman Rd at 2327. Case Status: Suspended,Night,38.032467,-78.51477
100,FIELD INVESTIGATION/CURFEW VIOLATION,1511 University Ave,Reported two individuals out past curfew ,02-19-2021,0311 02-19-21 to 0311 02-19-21,Suspended,FIELD INVESTIGATION/CURFEW VIOLATION: Reported two individuals out past curfew  on 1511 University Ave at 0311. Case Status: Suspended,Late Night,38.034944555555555,-78.50051802222222
101,TRAFFIC STOP/ POSS OF NARCOTICS,795 Alderman Rd,Reported individual failed to obey no-turn on red sign/ poss of marijuana ,02-20-2021,0334 02-20-21 to 0358 02-20-21,Suspended,TRAFFIC STOP/ POSS OF NARCOTICS: Reported individual failed to obey no-turn on red sign/ poss of marijuana  on 795 Alderman Rd at 0334. Case Status: Suspended,Late Night,38.032467,-78.51477
102,ASSAULT,1215 Lee St,Reported assisting nurse struck by patient ,02-20-2021,0527 02-20-21 to 0604 02-20-21,Suspended,ASSAULT: Reported assisting nurse struck by patient  on 1215 Lee St at 0527. Case Status: Suspended,Late Night,38.0324342,-78.499060670954
103,ASSAULT,1215 Lee St,Reported a past assault on medical staff by a patient no charges pending ,02-21-2021,2142 02-21-21 to 2230 02-21-21,Active,ASSAULT: Reported a past assault on medical staff by a patient no charges pending  on 1215 Lee St at 2200. Case Status: Active,Night,38.0324342,-78.499060670954
104,ASSIST CITIZEN/MEDICAL,2015 Stadium Rd,Reported assisting individual with injury to ankle after falling on black ice ,02-22-2021,0656 02-22-21 to 0717 02-22-21,Suspended,ASSIST CITIZEN/MEDICAL: Reported assisting individual with injury to ankle after falling on black ice  on 2015 Stadium Rd at 0723. Case Status: Suspended,Morning,38.02868668768692,-78.5148885051426
105,EXPLICIT PHOTO,2304 Ivy Rd,Reported explicit photographs found in online Anime chat group ,02-22-2021,1243 02-18-21 to 1243 02-18-21,Suspended,EXPLICIT PHOTO: Reported explicit photographs found in online Anime chat group  on 2304 Ivy Rd at 0910. Case Status: Suspended,Morning,38.0409319,-78.5085929
106,HIT AND RUN,1210 Lee St,Reported a hit and run in a parking garage ,02-22-2021,1300 02-22-21 to 1500 02-22-21,Active,HIT AND RUN: Reported a hit and run in a parking garage  on 1210 Lee St at 1330. Case Status: Active,Afternoon,38.031832072538975,-78.4987093212438
107,FOUND PROPERTY,1215 Lee St,Reported found leather wallet with currency and Washington driverâ€™s license ,02-22-2021,1400 02-22-21 to 1500 02-22-21,Active,FOUND PROPERTY: Reported found leather wallet with currency and Washington driverâ€™s license  on 1215 Lee St at 1437. Case Status: Active,Afternoon,38.0324342,-78.499060670954
108,ASSIST CITIZEN/MEDICAL,1815 Stadium Rd,Reported assisting individual with injury to knee after falling on black ice ,02-23-2021,0725 02-23-21 to 0725 02-23-21,Active,ASSIST CITIZEN/MEDICAL: Reported assisting individual with injury to knee after falling on black ice  on 1815 Stadium Rd at 0829. Case Status: Active,Morning,38.029874894745404,-78.51262899144912
109,ASSIST AGENCY/WARRANT,1215 Lee St,Reported assisting Madison County Sheriffs with a search warrant ,02-23-2021,0810 02-23-21 to 0810 02-23-21,Transferred to other agency,ASSIST AGENCY/WARRANT: Reported assisting Madison County Sheriffs with a search warrant  on 1215 Lee St at 0814. Case Status: Transferred to other agency,Morning,38.0324342,-78.499060670954
110,ASSIST CITIZEN/MENTAL/ECO ,1815 Stadium Rd,Reported an officer initiated ECO on an individual in crisis ,02-23-2021,0955 02-23-21 to 1203 02-23-21,Active,ASSIST CITIZEN/MENTAL/ECO : Reported an officer initiated ECO on an individual in crisis  on 1815 Stadium Rd at 0955. Case Status: Active,Morning,38.029874894745404,-78.51262899144912
111,ASSIST AGENCY/WARRANT,1215 Lee St,Reported assisting Nelson County Sheriffs with warrant service on an individual ,02-23-2021,1130 02-23-21 to 1230 02-23-21,Active,ASSIST AGENCY/WARRANT: Reported assisting Nelson County Sheriffs with warrant service on an individual  on 1215 Lee St at 1153. Case Status: Active,Morning,38.0324342,-78.499060670954
112,DRIVERS EXCHANGE,1210 Lee St,Reported a drivers exchange of information ,02-23-2021,1241 02-23-21 to 1241 02-23-21,Suspended,DRIVERS EXCHANGE: Reported a drivers exchange of information  on 1210 Lee St at 1241. Case Status: Suspended,Afternoon,38.031832072538975,-78.4987093212438
113,ASSIST CITIZEN/MEDICAL/FIELD INVESTIGATION,1210 Lee St,Reported assisting an individual feeling dizzy ,02-23-2021,1309 02-23-21 to 1309 02-23-21,Suspended,ASSIST CITIZEN/MEDICAL/FIELD INVESTIGATION: Reported assisting an individual feeling dizzy  on 1210 Lee St at 1309. Case Status: Suspended,Afternoon,38.031832072538975,-78.4987093212438
114,ASSIST CITIZEN/MENTAL/ECO,1215 Lee St,Reported an officer initiated ECO on an individual in crisis ,02-23-2021,1706 02-23-21 to 1830 02-23-21,Active,ASSIST CITIZEN/MENTAL/ECO: Reported an officer initiated ECO on an individual in crisis  on 1215 Lee St at 1706. Case Status: Active,Afternoon,38.0324342,-78.499060670954
115,LARCENY,1989 University Ave,"Reported theft of a backpack containing wallet with currency, a check, ID cards, keys, clothing ",02-23-2021,1650 02-23-21 to 1919 02-23-21,Suspended,"LARCENY: Reported theft of a backpack containing wallet with currency, a check, ID cards, keys, clothing  on 1989 University Ave at 1819. Case Status: Suspended",Night,38.0341443,-78.4997736
116,ASSIST CITIZEN/MEDICAL,478 Floyd Dr,Reported assisting individual with possible appendicitis ,02-24-2021,0602 02-24-21 to 0619 02-24-21,Suspended,ASSIST CITIZEN/MEDICAL: Reported assisting individual with possible appendicitis  on 478 Floyd Dr at 0619. Case Status: Suspended,Morning,38.0289609,-78.5175296
117,FOUND PROPERTY ,1215 Lee St,Reported found container of green leafy substance ,02-25-2021,0059 02-25-21 to 0149 02-25-21,Suspended,FOUND PROPERTY : Reported found container of green leafy substance  on 1215 Lee St at 0150. Case Status: Suspended,Late Night,38.0324342,-78.499060670954
118,ASSIST AGENCY/WARRANT,1215 Lee St,Reported assisting Waynesboro Police with warrant service; temporary detention of individual ,02-26-2021,0718 02-26-21 to 0830 02-26-21,Transferred to Other Agency,ASSIST AGENCY/WARRANT: Reported assisting Waynesboro Police with warrant service; temporary detention of individual  on 1215 Lee St at 0718. Case Status: Transferred to Other Agency,Morning,38.0324342,-78.499060670954
119,WELFARE CHECK/FIELD INVESTIGATION,1215 Lee St,Reported a welfare check on an individual not complying with mask order/ making statements of self-harm ,02-26-2021,0911 02-26-21 to 0911 02-26-21,Suspended,WELFARE CHECK/FIELD INVESTIGATION: Reported a welfare check on an individual not complying with mask order/ making statements of self-harm  on 1215 Lee St at 0911. Case Status: Suspended,Morning,38.0324342,-78.499060670954
120,LOST PROPERTY/FIELD INVESTIGATION,1215 Lee St,Reported a lost backpack; recovered and returned to individual ,02-26-2021,1151 02-26-21 to 1151 02-26-21,Suspended,LOST PROPERTY/FIELD INVESTIGATION: Reported a lost backpack; recovered and returned to individual  on 1215 Lee St at 1151. Case Status: Suspended,Morning,38.0324342,-78.499060670954
121,PARKING VIOLATION/FIELD INVESTIGATION,500 Monroe Ln,Reported a vehicle parked in fire lane ,02-27-2021,1013 02-27-21 to 1013 02-27-21,Suspended,PARKING VIOLATION/FIELD INVESTIGATION: Reported a vehicle parked in fire lane  on 500 Monroe Ln at 1013. Case Status: Suspended,Morning,38.030665,-78.503089
122,TRAFFIC STOP/ FIELD INVESTIGATION,1517 University Ave,Reported individual blocking roadway ,02-28-2021,0054 02-28-21 to 0054 02-28-21,Suspended,TRAFFIC STOP/ FIELD INVESTIGATION: Reported individual blocking roadway  on 1517 University Ave at 0054. Case Status: Suspended,Late Night,38.03540185,-78.50071482483509
123,ASSIST CITIZEN/FIELD INVESTIGATION,1215 Lee St,Reported assisting patient with safekeeping of a knife at UVA Hospital ,02-28-2021,1233 02-28-21 to 1233 02-28-21,Suspended,ASSIST CITIZEN/FIELD INVESTIGATION: Reported assisting patient with safekeeping of a knife at UVA Hospital  on 1215 Lee St at 1233. Case Status: Suspended,Afternoon,38.0324342,-78.499060670954
124,TRAFFIC STOP/FIELD INVESTIGATION,W Main St,Reported expired registration ,02-28-2021,1711 02-28-21 to 1711 02-28-21,Suspended,TRAFFIC STOP/FIELD INVESTIGATION: Reported expired registration  on W Main St at 1711. Case Status: Suspended,Afternoon,38.030494,-78.485658
